ImMoney,DelayMoney,DelayDays,CueType1,rows,CueType2,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,10.950075899949297,None,space,5.197047699941322,10.950075899949297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
,,,,,,,,,,,,,,,,,,,,,,,,16.17700559995137,None,return,14.289904899895191,16.17700559995137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$48 ,$49 ,in 15 days,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,36.504831600002944,None,32.490475999889895,None,39.06983169983141,None,2,1.365106799872592,39.06983169983141,None,39.06983169983141,None,39.06983169983141,None,39.06983169983141,None,39.06983169983141,None,39.06983169983141,40.58059469982982,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$55 ,$62 ,in 97 days,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,43.082463999977335,None,,,45.11055719992146,None,None,,45.11055719992146,None,45.11055719992146,None,45.11055719992146,None,45.11055719992146,None,45.11055719992146,None,45.11055719992146,46.61909099994227,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$20 ,$37 ,in 32 days,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,49.12084580003284,None,,,51.14847779995762,None,None,,51.14847779995762,None,51.14847779995762,None,51.14847779995762,None,51.14847779995762,None,51.14847779995762,None,51.14847779995762,52.65709099988453,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.159380099968985,None,space,28.235429600114003,55.159380099968985,None,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$55 ,$62 ,in 97 days,REGULATE,000:003,REACT,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,89.420804399997,None,,,91.44215040002018,None,2,1.7450337999034673,91.44215040002018,None,91.44215040002018,None,91.44215040002018,None,91.44215040002018,None,91.44215040002018,None,91.44215040002018,92.95751590002328,,,,,,,85.43368819984607,None,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$20 ,$37 ,in 32 days,REGULATE,000:003,REACT,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,95.42625459982082,None,,,97.44750060001388,None,1,1.8994450999889523,97.44750060001388,None,97.44750060001388,None,97.44750060001388,None,97.44750060001388,None,97.44750060001388,None,97.44750060001388,98.96246579987928,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
$48 ,$49 ,in 15 days,REGULATE,000:003,REACT,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,101.43082139990292,None,,,103.4486467000097,None,2,1.6101883000228554,103.4486467000097,None,103.4486467000097,None,103.4486467000097,None,103.4486467000097,None,103.4486467000097,None,103.4486467000097,104.95074360002764,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
,,,REGULATE,000:003,REACT,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0856,DelayDiscountPavlovia,3.2.4,59.978215857843765,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.41963599994779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
