sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,.thisRepN,.thisTrialN,.thisN,.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,choice.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
,,,,,,,,,,,,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
,,,,,,,,,,,,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$2.00 ,$4.25 ,65.0,00010:0020,REGULATE,65%  WIN,100%  WIN,1.0,0,0,0,1,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$2.00 ,$4.25 ,65.0,00010:0020,REGULATE,65%  WIN,100%  WIN,1.0,0,0,0,1,,,,,None,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$3.75 ,$7.50 ,35.0,00020:0030,REGULATE,35%  LOSE,100%  LOSE,0.0,0,1,1,2,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$3.75 ,$7.50 ,35.0,00020:0030,REGULATE,35%  LOSE,100%  LOSE,0.0,0,1,1,2,,,,,None,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$4.50 ,$6.75 ,50.0,000:0010,LOOK,50%  WIN,100%  WIN,1.0,0,2,2,0,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
$4.50 ,$6.75 ,50.0,000:0010,LOOK,50%  WIN,100%  WIN,1.0,0,2,2,0,,,,,None,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
,,,,,,,,,,,,,,,,,2,001,2019_Sep_12_0942,SlotMachTest,3.2.0,59.775828686091764,
